technology,capacity_type,location,year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
Aluminium_production,power,AUS,0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,1,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,2,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,3,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,4,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,5,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,6,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,7,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,8,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,9,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,10,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,11,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,12,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,13,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUT,0,491.0,491.0,491.0,491.0,491.0,491.0
Aluminium_production,power,AUT,1,491.0,491.0,491.0,491.0,491.0,491.0
Aluminium_production,power,AUT,2,491.0,491.0,491.0,491.0,491.0,491.0
Aluminium_production,power,AUT,3,491.0,491.0,491.0,491.0,491.0,491.0
Aluminium_production,power,AUT,4,491.0,491.0,491.0,491.0,491.0,491.0
Aluminium_production,power,AUT,5,491.0,491.0,491.0,491.0,491.0,491.0
Aluminium_production,power,AUT,6,491.0,491.0,491.0,491.0,491.0,491.0
Aluminium_production,power,AUT,7,491.0,491.0,491.0,491.0,491.0,491.0
Aluminium_production,power,AUT,8,491.0,491.0,491.0,491.0,491.0,491.0
Aluminium_production,power,AUT,9,491.0,491.0,491.0,491.0,491.0,491.0
Aluminium_production,power,AUT,10,491.0,491.0,491.0,491.0,491.0,491.0
Aluminium_production,power,AUT,11,491.0,491.0,491.0,491.0,491.0,491.0
Aluminium_production,power,AUT,12,491.0,491.0,491.0,491.0,491.0,491.0
Aluminium_production,power,AUT,13,491.0,491.0,491.0,491.0,491.0,491.0
Aluminium_production,power,BRA,0,811.0,811.0,811.0,811.0,811.0,811.0
Aluminium_production,power,BRA,1,811.0,811.0,811.0,811.0,811.0,811.0
Aluminium_production,power,BRA,2,811.0,811.0,811.0,811.0,811.0,811.0
Aluminium_production,power,BRA,3,811.0,811.0,811.0,811.0,811.0,811.0
Aluminium_production,power,BRA,4,811.0,811.0,811.0,811.0,811.0,811.0
Aluminium_production,power,BRA,5,811.0,811.0,811.0,811.0,811.0,811.0
Aluminium_production,power,BRA,6,811.0,811.0,811.0,811.0,811.0,811.0
Aluminium_production,power,BRA,7,811.0,811.0,811.0,811.0,811.0,811.0
Aluminium_production,power,BRA,8,811.0,811.0,811.0,811.0,811.0,811.0
Aluminium_production,power,BRA,9,811.0,811.0,811.0,811.0,811.0,811.0
Aluminium_production,power,BRA,10,811.0,811.0,811.0,811.0,811.0,811.0
Aluminium_production,power,BRA,11,811.0,811.0,811.0,811.0,811.0,811.0
Aluminium_production,power,BRA,12,811.0,811.0,811.0,811.0,811.0,811.0
Aluminium_production,power,BRA,13,811.0,811.0,811.0,811.0,811.0,811.0
Aluminium_production,power,CHN,0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
Aluminium_production,power,CHN,1,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
Aluminium_production,power,CHN,2,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
Aluminium_production,power,CHN,3,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
Aluminium_production,power,CHN,4,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
Aluminium_production,power,CHN,5,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
Aluminium_production,power,CHN,6,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
Aluminium_production,power,CHN,7,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
Aluminium_production,power,CHN,8,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
Aluminium_production,power,CHN,9,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
Aluminium_production,power,CHN,10,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
Aluminium_production,power,CHN,11,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
Aluminium_production,power,CHN,12,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
Aluminium_production,power,CHN,13,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
Aluminium_production,power,CZE,0,60.0,60.0,60.0,60.0,60.0,60.0
Aluminium_production,power,CZE,1,60.0,60.0,60.0,60.0,60.0,60.0
Aluminium_production,power,CZE,2,60.0,60.0,60.0,60.0,60.0,60.0
Aluminium_production,power,CZE,3,60.0,60.0,60.0,60.0,60.0,60.0
Aluminium_production,power,CZE,4,60.0,60.0,60.0,60.0,60.0,60.0
Aluminium_production,power,CZE,5,60.0,60.0,60.0,60.0,60.0,60.0
Aluminium_production,power,CZE,6,60.0,60.0,60.0,60.0,60.0,60.0
Aluminium_production,power,CZE,7,60.0,60.0,60.0,60.0,60.0,60.0
Aluminium_production,power,CZE,8,60.0,60.0,60.0,60.0,60.0,60.0
Aluminium_production,power,CZE,9,60.0,60.0,60.0,60.0,60.0,60.0
Aluminium_production,power,CZE,10,60.0,60.0,60.0,60.0,60.0,60.0
Aluminium_production,power,CZE,11,60.0,60.0,60.0,60.0,60.0,60.0
Aluminium_production,power,CZE,12,60.0,60.0,60.0,60.0,60.0,60.0
Aluminium_production,power,CZE,13,60.0,60.0,60.0,60.0,60.0,60.0
Aluminium_production,power,DEU,0,550.0,550.0,550.0,550.0,550.0,550.0
Aluminium_production,power,DEU,1,550.0,550.0,550.0,550.0,550.0,550.0
Aluminium_production,power,DEU,2,550.0,550.0,550.0,550.0,550.0,550.0
Aluminium_production,power,DEU,3,550.0,550.0,550.0,550.0,550.0,550.0
Aluminium_production,power,DEU,4,550.0,550.0,550.0,550.0,550.0,550.0
Aluminium_production,power,DEU,5,550.0,550.0,550.0,550.0,550.0,550.0
Aluminium_production,power,DEU,6,550.0,550.0,550.0,550.0,550.0,550.0
Aluminium_production,power,DEU,7,550.0,550.0,550.0,550.0,550.0,550.0
Aluminium_production,power,DEU,8,550.0,550.0,550.0,550.0,550.0,550.0
Aluminium_production,power,DEU,9,550.0,550.0,550.0,550.0,550.0,550.0
Aluminium_production,power,DEU,10,550.0,550.0,550.0,550.0,550.0,550.0
Aluminium_production,power,DEU,11,550.0,550.0,550.0,550.0,550.0,550.0
Aluminium_production,power,DEU,12,550.0,550.0,550.0,550.0,550.0,550.0
Aluminium_production,power,DEU,13,550.0,550.0,550.0,550.0,550.0,550.0
Aluminium_production,power,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,ITA,1,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,ITA,2,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,ITA,3,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,ITA,4,0.0,0.0,0.0,0.0,0.0,0.0
