technology,capacity_type,location,year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
Aluminium_production,power,AUS,0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUS,1,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUS,2,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUS,3,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUS,4,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUS,5,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUS,6,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUS,7,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUS,8,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUS,9,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUS,10,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUS,11,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUS,12,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUS,13,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUT,0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUT,1,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUT,2,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUT,3,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUT,4,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUT,5,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUT,6,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUT,7,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUT,8,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUT,9,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUT,10,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUT,11,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUT,12,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,AUT,13,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,BRA,0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,BRA,1,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,BRA,2,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,BRA,3,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,BRA,4,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,BRA,5,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,BRA,6,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,BRA,7,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,BRA,8,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,BRA,9,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,BRA,10,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,BRA,11,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,BRA,12,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,BRA,13,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CHN,0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CHN,1,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CHN,2,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CHN,3,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CHN,4,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CHN,5,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CHN,6,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CHN,7,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CHN,8,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CHN,9,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CHN,10,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CHN,11,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CHN,12,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CHN,13,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CZE,0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CZE,1,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CZE,2,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CZE,3,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CZE,4,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CZE,5,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CZE,6,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CZE,7,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CZE,8,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CZE,9,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CZE,10,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CZE,11,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CZE,12,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,CZE,13,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,DEU,0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,DEU,1,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,DEU,2,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,DEU,3,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,DEU,4,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,DEU,5,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,DEU,6,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,DEU,7,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,DEU,8,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,DEU,9,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,DEU,10,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,DEU,11,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,DEU,12,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,DEU,13,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,ITA,0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,ITA,1,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,ITA,2,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,ITA,3,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,ITA,4,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,ITA,5,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,ITA,6,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,ITA,7,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,ITA,8,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,ITA,9,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,ITA,10,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,ITA,11,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,ITA,12,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,ITA,13,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,JPN,0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,JPN,1,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,JPN,2,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,JPN,3,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,JPN,4,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,JPN,5,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,JPN,6,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,JPN,7,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,JPN,8,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,JPN,9,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,JPN,10,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,JPN,11,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,JPN,12,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,JPN,13,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,KOR,0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,KOR,1,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,KOR,2,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,KOR,3,0.0,0.0,0.0,0.0,0.0
Aluminium_production,power,KOR,4,0.0,0.0,0.0,0.0,0.0
