year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
0,845392781.4615599,845392781.4615599,845392781.4615599,840585955.1700599,845392781.4615599,845392781.46156
1,1761528829.7081437,1761528829.7081437,1761528829.7081437,1751857337.1947484,1761528829.7081437,1761528829.7081437
2,2756492223.010392,2756492223.010392,2756492223.010392,2741891614.775404,2756492223.010392,2756492223.010392
3,3839486329.4829073,3839486329.4829073,3839486329.4829073,3819942991.987919,3839486329.4829073,3839486329.4829073
4,5021005151.878605,5021005151.878605,5021005151.878605,4996519085.123617,5021005151.878605,5021005151.878605
5,6313107546.401864,6313107546.401864,6313107546.401864,6283603592.891901,6313107546.401864,6313107546.401864
6,7729844819.095721,7729844819.095721,7729844819.095721,7694901126.745163,7729844819.095721,7729844819.095721
7,9286964620.217173,9286964620.217173,9286964620.217173,9246157828.330614,9286964620.217173,9286964620.217173
8,11002524656.718401,11002524656.718401,11002524656.718401,10955854765.295843,11002524656.718401,11002524656.718403
9,12897257629.066381,12897257629.066381,12897257629.066381,12844724638.107822,12897257629.066381,12897257629.066383
10,14994995827.272274,14994995827.272274,14994995827.272274,14936599736.777716,14994995827.272274,14994995827.272276
11,17323165581.058876,17323165581.058876,17323165581.058876,17258906391.028316,17323165581.058876,17323165581.058876
12,19873977287.118076,19913363007.452934,19913363007.452934,19843240717.88637,19913363007.452934,19913363007.452934
13,22608960410.64742,22802024918.74709,22802024918.74709,22726039529.644524,22802024918.74709,22802024918.74709
