technology,capacity_type,location,year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
Aluminium_production,power,AUS,0,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,1,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,2,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,3,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,4,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,5,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,6,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,7,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,8,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,9,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,10,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,11,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,12,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUS,13,1500.0,1500.0,1500.0,1500.0,1500.0
Aluminium_production,power,AUT,0,491.0,491.0,491.0,491.0,491.0
Aluminium_production,power,AUT,1,491.0,491.0,491.0,491.0,491.0
Aluminium_production,power,AUT,2,491.0,491.0,491.0,491.0,491.0
Aluminium_production,power,AUT,3,491.0,491.0,491.0,491.0,491.0
Aluminium_production,power,AUT,4,491.0,491.0,491.0,491.0,491.0
Aluminium_production,power,AUT,5,491.0,491.0,491.0,491.0,491.0
Aluminium_production,power,AUT,6,491.0,491.0,491.0,491.0,491.0
Aluminium_production,power,AUT,7,491.0,491.0,491.0,491.0,491.0
Aluminium_production,power,AUT,8,491.0,491.0,491.0,491.0,491.0
Aluminium_production,power,AUT,9,491.0,491.0,491.0,491.0,491.0
Aluminium_production,power,AUT,10,491.0,491.0,491.0,491.0,491.0
Aluminium_production,power,AUT,11,491.0,491.0,491.0,491.0,491.0
